continent,country,website,crawl_id,found,num_requests,html,css,javascript,images,fonts,transferred_bytes
Europe,Germany,https://www.focus.de,6a5bb3b949eb97292dfad84d,True,291.0,2.0,12.0,86.0,130.0,4.0,15476851.0
Europe,Germany,https://www.kleinanzeigen.de,6a5bb3bcd9b021307069189f,True,160.0,2.0,2.0,66.0,59.0,0.0,6156091.0
Europe,Germany,https://www.merkur.de,6a5bb3bc58116a506047f480,True,87.0,2.0,7.0,25.0,26.0,3.0,7394527.0
Europe,Germany,https://www.t-online.de,6a5bb3becaf573d009ddbe53,True,287.0,2.0,5.0,52.0,218.0,3.0,7771512.0
Europe,Germany,https://www.zalando.de,6a5bb3be40a13aeac058d423,True,61.0,8.0,4.0,28.0,4.0,0.0,4678070.0
Europe,Germany,https://www.otto.de,6a5bb3c03b31af06c55b8bc5,True,631.0,23.0,30.0,344.0,164.0,2.0,8337664.0
Europe,Germany,https://www.spiegel.de,6a5bb3c165b78c057d197062,True,40.0,2.0,2.0,13.0,5.0,0.0,7302262.0
Europe,Germany,https://www.n-tv.de,6a5bb3c3d4e9ad277c17ca89,True,177.0,14.0,31.0,73.0,30.0,5.0,9058285.0
Europe,Germany,https://erotik.markt.de,6a5bb3c3385ae4722b670d78,True,59.0,1.0,9.0,24.0,19.0,3.0,5220054.0
Europe,Germany,https://m.ladies.de,6a5bb3c40e531a4f79a914ce,True,74.0,3.0,4.0,26.0,26.0,0.0,2658366.0
Europe,Germany,https://www.ebay.de,6a5bb3c4a82cfc64ac586cc9,True,463.0,3.0,2.0,31.0,86.0,2.0,18324804.0
Europe,Germany,https://www.welt.de,6a5bb3c4d8ec0d268c6c6dba,True,122.0,2.0,1.0,78.0,14.0,4.0,4276572.0
Europe,Germany,https://www.joyclub.de,6a5bb3c5f8f3bda2d550ddab,True,210.0,2.0,23.0,157.0,20.0,4.0,5674687.0
Europe,Germany,https://m.bild.de,6a5bb3c5f15abd91c6dda1fb,True,262.0,5.0,13.0,107.0,105.0,8.0,9222342.0
Europe,Germany,https://www.tchibo.de,6a5bb3c54ec624deaa3b694f,True,176.0,6.0,25.0,79.0,42.0,3.0,10491586.0
Europe,Germany,https://www.swr.de,6a5bb3c5fb9de24ee6a8c94b,True,107.0,1.0,12.0,25.0,63.0,4.0,9775101.0
Europe,Germany,https://www.filmstarts.de,6a5bb3c8cf2a0d4bc60957fa,True,88.0,3.0,1.0,40.0,20.0,2.0,6532719.0
Europe,Germany,https://www.wort-suchen.de,6a5bb3c8af34422a766ff469,True,66.0,16.0,1.0,20.0,18.0,0.0,5002976.0
Europe,Germany,https://www.sportschau.de,6a5bb3c99f3283959e0dcab8,True,69.0,3.0,3.0,27.0,19.0,1.0,7330226.0
Europe,Germany,https://www.stern.de,6a5bb3cb1b39448c728b63d8,True,69.0,5.0,2.0,35.0,11.0,3.0,8050594.0
Europe,Germany,https://www.gamestar.de,6a5bb3ccfd7cd34eec0303ee,True,81.0,7.0,7.0,34.0,19.0,7.0,6278647.0
Europe,Germany,https://www.nordkurier.de,6a5bb3ce58116a506047f4da,True,83.0,2.0,2.0,53.0,10.0,6.0,4148187.0
Europe,Germany,https://www.markt.de,6a5bb3cd385ae4722b670db6,True,118.0,1.0,8.0,31.0,69.0,3.0,7064199.0
