continent,country,website,crawl_id,found,dom_size,dom_depth,links,images,forms,tables,buttons,text_chars,text_words,text_blocks
Europe,Germany,https://www.focus.de,6a5bb3b949eb97292dfad84d,True,5548.0,24.0,518.0,230.0,0.0,0.0,65.0,37226.0,5552.0,1108.0
Europe,Germany,https://www.kleinanzeigen.de,6a5bb3bcd9b021307069189f,True,2027.0,24.0,299.0,42.0,1.0,0.0,36.0,11862.0,1488.0,208.0
Europe,Germany,https://www.merkur.de,6a5bb3bc58116a506047f480,True,4317.0,20.0,354.0,21.0,2.0,0.0,14.0,67657.0,9793.0,1170.0
Europe,Germany,https://www.t-online.de,6a5bb3becaf573d009ddbe53,True,5824.0,31.0,964.0,345.0,3.0,0.0,42.0,23999.0,3260.0,908.0
Europe,Germany,https://www.zalando.de,6a5bb3be40a13aeac058d423,True,333.0,15.0,0.0,0.0,0.0,0.0,2.0,208.0,42.0,14.0
Europe,Germany,https://www.otto.de,6a5bb3c03b31af06c55b8bc5,True,4251.0,22.0,703.0,184.0,2.0,0.0,6.0,20796.0,2652.0,296.0
Europe,Germany,https://www.spiegel.de,6a5bb3c165b78c057d197062,True,10903.0,26.0,740.0,321.0,1.0,0.0,215.0,193319.0,28825.0,1359.0
Europe,Germany,https://www.n-tv.de,6a5bb3c3d4e9ad277c17ca89,True,4707.0,20.0,646.0,202.0,0.0,0.0,25.0,47731.0,6991.0,1018.0
Europe,Germany,https://erotik.markt.de,6a5bb3c3385ae4722b670d78,True,218.0,11.0,29.0,5.0,1.0,0.0,11.0,1242.0,164.0,18.0
Europe,Germany,https://m.ladies.de,6a5bb3c40e531a4f79a914ce,True,1153.0,17.0,278.0,26.0,3.0,0.0,11.0,13489.0,1773.0,182.0
Europe,Germany,https://www.ebay.de,6a5bb3c4a82cfc64ac586cc9,True,2544.0,21.0,520.0,82.0,1.0,0.0,90.0,13651.0,1749.0,358.0
Europe,Germany,https://www.welt.de,6a5bb3c4d8ec0d268c6c6dba,True,4497.0,17.0,529.0,80.0,0.0,0.0,32.0,37158.0,5167.0,904.0
Europe,Germany,https://www.joyclub.de,6a5bb3c5f8f3bda2d550ddab,True,1011.0,15.0,56.0,12.0,1.0,0.0,4.0,5239.0,850.0,89.0
Europe,Germany,https://m.bild.de,6a5bb3c5f15abd91c6dda1fb,True,4648.0,20.0,721.0,320.0,1.0,0.0,52.0,24106.0,3368.0,612.0
Europe,Germany,https://www.tchibo.de,6a5bb3c54ec624deaa3b694f,True,3014.0,23.0,246.0,78.0,1.0,0.0,30.0,6667.0,867.0,331.0
Europe,Germany,https://www.swr.de,6a5bb3c5fb9de24ee6a8c94b,True,1760.0,18.0,242.0,51.0,1.0,0.0,55.0,17863.0,2684.0,374.0
Europe,Germany,https://www.filmstarts.de,6a5bb3c8cf2a0d4bc60957fa,True,1527.0,17.0,308.0,124.0,2.0,0.0,18.0,9866.0,1524.0,328.0
