continent,country,website
South America,Brazil,https://www.simepar.br
South America,Brazil,https://estudante.estacio.br
South America,Brazil,https://www.unoeste.br
South America,Brazil,https://registro.br
South America,Brazil,https://www.sp.senac.br
South America,Brazil,https://digital.unisa.br
South America,Brazil,https://ava.ead.unip.br
South America,Brazil,https://www.sigaa.ufpi.br
South America,Brazil,https://sigaa.ufrn.br
South America,Brazil,https://sigaa.ufma.br
South America,Brazil,https://aprender3.unb.br
South America,Brazil,https://conhecimento.fgv.br
South America,Brazil,https://sigaa.ufrrj.br
South America,Brazil,https://educacao-executiva.fgv.br
South America,Brazil,https://sigaa.sig.ufal.br
South America,Brazil,https://avasus.ufrn.br
South America,Brazil,https://www.unip.br
South America,Brazil,https://aluno.uninove.br
South America,Brazil,https://uspdigital.usp.br
South America,Brazil,https://estacio.br
South America,Brazil,https://www.sp.senai.br
South America,Brazil,https://sigaa.unemat.br
South America,Brazil,https://sigaa.ufba.br
South America,Brazil,https://www1.ufrgs.br
South America,Brazil,https://sia.estacio.br
South America,Brazil,https://ambienteonline.uninga.br
South America,Brazil,https://ava.univesp.br
South America,Brazil,https://www.sigaa.ufs.br
South America,Brazil,https://educaesusaps.medicina.ufmg.br
South America,Brazil,https://ava.ufms.br
South America,Brazil,https://sistemas.institutoverbena.ufg.br
South America,Brazil,https://www.einstein.br
South America,Brazil,https://presencial.moodle.ufsc.br
South America,Brazil,https://concursos.furb.br
South America,Brazil,https://sigaa.ufpa.br
South America,Brazil,https://sigaa.sistemas.ufg.br
South America,Brazil,https://ava.uninove.br
South America,Brazil,https://siscad.ufms.br
South America,Brazil,https://webmail.ufsc.br
South America,Brazil,https://senaionline.sp.senai.br
South America,Brazil,https://sipac.ufpb.br
South America,Brazil,https://concursos.unioeste.br
South America,Brazil,https://ufprvirtual.ufpr.br
South America,Brazil,https://www.ceps.ufpa.br
South America,Brazil,https://sei.unb.br
South America,Brazil,https://sistemas.unesp.br
South America,Brazil,https://portalaluno.uva.br
South America,Brazil,https://jornal.usp.br
South America,Brazil,https://www.ufmg.br
South America,Brazil,https://www.rj.senac.br
South America,Brazil,https://online.pucrs.br
South America,Brazil,https://www.embrapa.br
South America,Brazil,https://login.unopar.br
South America,Brazil,https://www.mackenzie.br
South America,Brazil,https://universitas.niltonlins.br
South America,Brazil,https://app.uff.br
South America,Brazil,https://avaead.unisanta.br
South America,Brazil,https://www.ufsm.br
South America,Brazil,https://sig.ufla.br
South America,Brazil,https://aapa.uninove.br
South America,Brazil,https://revistas.usp.br
South America,Brazil,https://sistemas.ufsc.br
South America,Brazil,https://www.ufrgs.br
South America,Brazil,https://plataformaead.unigran.br
South America,Brazil,https://oab.fgv.br
South America,Brazil,https://sigaa.uern.br
South America,Brazil,https://moodle.pucrs.br
South America,Brazil,https://www.objetivo.br
South America,Brazil,https://ead.belasartes.br
South America,Brazil,https://portal.ufsm.br
South America,Brazil,https://ava.ufba.br
South America,Brazil,https://sage.fapesp.br
South America,Brazil,https://uol.unifor.br
South America,Brazil,https://ensino.einstein.br
South America,Brazil,https://ava.ufscar.br
South America,Brazil,https://sigconcursos.uema.br
South America,Brazil,https://autenticacao.ufrn.br
South America,Brazil,https://sigaa.ufpi.br
South America,Brazil,https://unip.br
South America,Brazil,https://postec.sead.ufpb.br
South America,Brazil,https://ava.ufpe.br
South America,Brazil,https://sei.ufs.br
South America,Brazil,https://comunica.ufu.br
South America,Brazil,https://ww2.unisantos.br
South America,Brazil,https://www.sarah.br
South America,Brazil,http://memoria2.cnpq.br
South America,Brazil,https://www.furb.br
South America,Brazil,https://www.medicina.ufmg.br
South America,Brazil,https://ucsvirtual.ucs.br
South America,Brazil,https://ufop.br
South America,Brazil,https://www.unipar.br
South America,Brazil,https://portal.coseac.uff.br
South America,Brazil,https://editora.pucrs.br
South America,Brazil,https://www.puc-rio.br
South America,Brazil,https://www.fiocruzbrasilia.fiocruz.br
South America,Brazil,https://sipac.ufrrj.br
South America,Brazil,https://seer.ufu.br
South America,Brazil,https://academiadigital.einstein.br
South America,Brazil,https://landing.unifacs.br
South America,Brazil,https://portal.anhembi.br
South America,Argentina,https://www.campusvirtual.psi.uba.ar
South America,Argentina,https://www.ubaxxicampusvirtual.uba.ar
South America,Argentina,https://campus.fadu.uba.ar
South America,Argentina,https://cbccampusvirtual.uba.ar
South America,Argentina,https://xhendra.ar
South America,Argentina,https://myradioenvivo.ar
South America,Argentina,https://www.galicia.ar
South America,Argentina,https://campus.fmed.uba.ar
South America,Argentina,https://digital.bancosantafe.ar
South America,Argentina,https://www.fmed.uba.ar
